year	session	type	session_title	n_participants
2015	1003016	Full Panel	Diversity, Threats, and Exclusion: Experimental Investigations	6
2015	1003067	Full Panel	Firms as Actors in Contemporary Capitalism: Innovations in Concept and Method	7
2015	1003242	Full Panel	Interrogating, Historicizing, and Decolonizing Materialist Politics and Method	5
2015	1003428	Full Panel	Drones in Theory and Practice	6
2015	1003434	Full Panel	Democracy's Internal and External Borders	7
2015	1003491	Full Panel	Alienation and Citizenship	7
2015	1003500	Full Panel	Accounting for Criminal Civil Wars: New Conflicts for a Multi-Polar World?	6
2015	1003554	Roundtable	Don't Let it Bring You Down: The Consequences of Judicialization	8
2015	1003669	Full Panel	America, Liberalism, and Empire	8
2015	1003732	Full Panel	Media under Autocracy: Comparing Russia, China, Egypt, Syria and Azerbaijan	8
2015	1003943	Roundtable	"International Politics and ""Unmaking the Bomb: A Fissile Material Approach"	6
2015	1004028	Full Panel	Democracy in a Globalized Age: the All-Affected Principle and Beyond	6
2015	1004053	Full Panel	Rethinking Religion, Democracy, and Development in Sub-Saharan Africa	6
2015	1010285	Paper Session	Individual Preferences and Trade Policy	7
2015	1011784	Paper Session	Health Politics: Cross-national Diversity in Focus and Method	7
2015	1012303	Paper Session	Field Experiments on Elites	5
2015	1012327	Paper Session	Workers and Producers in the Global Economy	8
2015	1012850	Paper Session	State and Anti-State Violence, Then and Now	6
2015	1012887	Paper Session	International History and the Big Questions	7
2015	1012938	Paper Session	Canadian Public Policy	4
2015	1012940	Paper Session	Francophone Minorities in Multilingual Countries	8
2015	1012943	Paper Session	Canadian Local, Provincial and Federal Elections	6
2015	1013046	Paper Session	Committees in Congress: Sources of Power and Influence	8
2015	1013049	Paper Session	Congressional Elections and Competitiveness	8
2015	1013078	Paper Session	Politics of the House and Senate Floor	8
2015	1013079	Paper Session	Interest Groups, Lobbyists, and Policymaking	8
2015	1013080	Paper Session	Cultivating the Constituency: Legislator-Constituent Relations	8
2015	1013088	Paper Session	Determinants of Roll-Call Voting in Congress	8
2015	1013092	Paper Session	Congress and the Presidency: Cooperation and Confrontation	8
2015	1013093	Paper Session	Party Leadership and Partisan Communication	8
2015	1013094	Paper Session	Polarization and its Impact on Institutions and Policymaking	8
2015	1013095	Paper Session	Descriptive Representation and the Policy Impact of Women in Legislatures	8
2015	1013138	Paper Session	Executive-Legislative Relations in Latin America	8
2015	1013149	Paper Session	China and Asia, Past and Present	7
2015	1013151	Paper Session	Ideas in Transnational Space	7
2015	1013153	Paper Session	Theories of Legislative Committees Revisited	8
2015	1013155	Paper Session	Individuals in Partisan Contexts	8
2015	1013278	Paper Session	Public Opinion, Political Participation and LGBT Rights	7
2015	1013568	Theme Session	Marginalization, Inclusion and the Future of Political Science: A Panel Honoring David Easton	9
2015	1013574	Theme Session	Is Anybody Listening? Political Science, the New Media and Politics	6
2015	1013576	Theme Session	The Politics of Race and Class Inequalities in the Americas	7
2015	1013611	Paper Session	The Political Economy of Non-Tariff Barriers to Trade	7
2015	1013631	Paper Session	Networks in the World Economy	7
2015	1013640	Paper Session	The IMF and World Bank: Lending and Conditionality in International Institutions	5
2015	1013643	Paper Session	FDI, Political Risk, and International Institutions	7
2015	1013647	Paper Session	The Politics of Foreign Aid in Donor and Recipient Countries	8
2015	1013689	Theme Session	Beyond Our Borders: Does Political Science have an Impact on Other Disciplines?	7
2015	1013717	Paper Session	When the Music's Over: Financial Regulation in the post-Crisis Era	6
2015	1013727	Paper Session	A Potpourri of Probably Publishable Papers	6
2015	1013728	Paper Session	Energy and Natural Resource Politics in North and South	7
2015	1013731	Paper Session	New Approaches to Trade Policy Analysis	7
2015	1014087	Paper Session	Enforcement and Compliance in International Cooperation	3
2015	1014088	Paper Session	New Modes of Global Governance	8
2015	1014090	Paper Session	NGOs in International Cooperation	8
2015	1014091	Paper Session	Delegation and Cooperation in International Organizations	6
2015	1014094	Paper Session	Politics of International Cooperation	6
2015	1014095	Paper Session	The Design of International Agreements	6
2015	1014105	Poster Session	Poster Session: International Collaboration	8
2015	1014188	Paper Session	LGBT Policy and Politics-Comparative and International Perspectives	7
2015	1014197	Poster Session	Poster Session: Sexuality and Politics	5
2015	1014263	Paper Session	Diversifying International Struggles: Theory and Practice in Global Justice	8
2015	1014532	Paper Session	Immigration	6
2015	1014534	Paper Session	Race and the Media: New Directions in Research	7
2015	1014537	Paper Session	Campaigns	4
2015	1014540	Paper Session	Racial Politics and Public Policy	6
2015	1014542	Paper Session	Latino Politics	6
2015	1014560	Paper Session	Partisanship and Citizenship among Racial and Ethnic Minority Voters	6
2015	1014564	Paper Session	Race, Class and Inequality	5
2015	1014565	Paper Session	The Intersections of Race and Gender Politics	5
2015	1014569	Paper Session	The Consequences of Race in Local Politics	6
2015	1014571	Paper Session	Political Protest and Socialization in Racial/Ethnic Minority Communiities	4
2015	1014572	Paper Session	New Research on Asian and Asian Americans	5
2015	1014602	Paper Session	Race and Public Opinion	6
2015	1014605	Paper Session	Beyond Black and White: The New Multiracial America	7
2015	1014612	Paper Session	Race, Ethnicity and Political Psychology	6
2015	1014738	Paper Session	Critical and Constructivist Approaches to IPE	5
2015	1014839	Paper Session	Diversity within Parties: Causes and Consequences	8
2015	1014859	Paper Session	Mapping and Bridging Methodological Diversity in the Discipline	6
2015	1014906	Paper Session	Loyalty, Unity and Parliamentary Behavior	8
2015	1014930	Paper Session	Diversities in Presidential Rhetoric, Media Frames, and Public Reactions	8
2015	1015077	Paper Session	Field Experiments on Local Governance	5
2015	1015081	Paper Session	Inequality and Historical Political Development in Europe	4
2015	1015094	Poster Session	Poster Session: Science, Technology and Environmental Politics	4
2015	1015104	Paper Session	Clash of the Social Identities in the Political Arena	6
2015	1015109	Paper Session	Political Competition and Government Spending	6
2015	1015112	Paper Session	Experiments in Political Economy	4
2015	1015126	Paper Session	Gender and Campaign Dynamics	8
2015	1015128	Paper Session	Linking Interpretation and Causal Inference	6
2015	1015147	Paper Session	Diverse Perspectives on Political Science Education	8
2015	1015152	Paper Session	Diverse Approaches to Improving Online Education	7
2015	1015154	Paper Session	Teaching about Diversities Using Unique Approaches	8
2015	1015157	Paper Session	Teaching about Diversities, Power and Difference	7
2015	1015158	Paper Session	Exploring Diversities Using Civic Education and Engagement	8
2015	1015159	Paper Session	Reconsidering the Impact of Gender Diversity in Political Institutions	8
2015	1015160	Paper Session	Intersectionality and Diverse Marginalities	8
2015	1015163	Paper Session	Teaching Civic Education, Engagement and Inclusion	7
2015	1015166	Paper Session	Assessing Diversities in the Classroom	8
2015	1015171	Paper Session	Exploring Diversities Using Simulations	7
2015	1015175	Poster Session	Poster Session: Teaching and Learning in Political Science	4
2015	1015178	Poster Session	Poster Session: Political Science Education	3
2015	1015235	Paper Session	Experimental Approaches to IPE	6
2015	1015575	Poster Session	Poster Session: International Political Economy	12
2015	1015626	Paper Session	Formal Models of Internal Conflict	8
2015	1015690	Paper Session	Authoritarian Systems	6
2015	1015691	Paper Session	Politics of Recruitment, Expertise & Personnel	7
2015	1015757	Paper Session	Religion in Public Space and in the Public Sector	7
2015	1015759	Paper Session	Assessing the Role of Religion in Conflict	6
2015	1015761	Paper Session	Religion and Public Goods	6
2015	1015764	Paper Session	Religion, Law and Democracy	7
2015	1015768	Paper Session	Interactions between and Influences of Religious and Electoral Politics	7
2015	1015773	Paper Session	The politics of religious diversity	7
2015	1015777	Paper Session	Religion and International Relations	6
2015	1015780	Theme Session	After Obama: Legacies of America's First Minority President	5
2015	1016617	Paper Session	Domestic Audiences and International Conflict	8
2015	1016638	Paper Session	International Politics and the Domestic Political Bargain	8
2015	1016653	Paper Session	New Explanations for the Onset of War	8
2015	1016682	Paper Session	Migrants and Minorities in Contemporary European Politics	7
2015	1016726	Paper Session	Presidential Leadership, Approval and Assessments	8
2015	1016763	Paper Session	Presidential Foreign Policy Leadership: Legal and Rhetorical Resources	7
2015	1016788	Paper Session	Inside the White House: Presidential Appointees and Political Decisions	7
2015	1016810	Paper Session	Experimental Tests of Formal Models	2
2015	1016862	Paper Session	Executive Powers and Presidential Prerogatives: Understanding Unilateral Actions	8
2015	1017843	Paper Session	Opposition Cohesion and Structure	7
2015	1017850	Paper Session	Rebel Group Dynamics	7
2015	1018091	Paper Session	Domestic Politics and International Conflict	7
2015	1018103	Paper Session	Politics of Foreign Aid	8
2015	1018163	Paper Session	Diversity, Democracy, Representation	8
2015	1018169	Paper Session	Diverse Families	6
2015	1018177	Paper Session	Agency, Responsibility, Autonomy	5
2015	1018399	Poster Session	Poster Session: Religion & Politics	5
2015	1018494	Paper Session	Examining Public Opinion on Foreign Policy	7
2015	1018504	Paper Session	Elite Foreign Policy Decision Making	8
2015	1018651	Paper Session	You Disgust Me! Sources of Support for Policies and Parties	7
2015	1018696	Paper Session	The Political Effects of Personality Among Elites and the Public	5
2015	1018744	Paper Session	"Should We ""Manage"" Diversity?"	6
2015	1018747	Poster Session	Poster Session: Legislative Studies	10
2015	1018831	Paper Session	Inequality and Redistribution	7
2015	1018849	Paper Session	Businesses, Officials, and Corruption	8
2015	1018960	Full Panel	Sexual Minorities-Policy-making and Political Representation	8
2015	1018966	Full Panel	Diversity of Women's Interests	7
2015	1018972	Full Panel	Women in Conflict Processes	6
2015	1018994	Paper Session	Innovations in Mixed-Method Research	6
2015	1018995	Paper Session	Evaluating Qualitative Evidence	6
2015	1018996	Paper Session	Challenges of Concept-Formation and Measurement	5
2015	1018997	Paper Session	Challenges of Field and Ethnographic Research	7
2015	1018998	Paper Session	Unpacking the Logic of Process Tracing	6
2015	1019003	Paper Session	Exploring Philosophy, Faith and the Political through Art	7
2015	1019004	Paper Session	Ancient Insights for Modern Politics and Ethics	8
2015	1019006	Paper Session	Rethinking Freedom and Democracy in the Modern State	8
2015	1019007	Paper Session	Rethinking the Scientific Imposition on Nature	6
2015	1019008	Poster Session	Poster Session: Politics, Literature, and Film	3
2015	1019046	Paper Session	Political Institutions and Economic Growth	6
2015	1019055	Paper Session	Economic Shocks and Distributive Politics	4
2015	1019211	Full Panel	Diversities Reconsidered: Politics, and Political Science, in the 21st Century - the Israeli Case	5
2015	1019216	Full Panel	Varieties of Political Participation in Contemporary China	7
2015	1019223	Full Panel	Conflicts of Korea	6
2015	1019231	Full Panel	Diversity in Security: Professors and Practitioners in Unconventional Discourse	6
2015	1019241	Full Panel	How Party Organizations Shape Democratic Outcomes	8
2015	1019249	Full Panel	Taiwan's Domestic Politics, Voting, and Mass Opinion	8
2015	1019255	Full Panel	Taiwan's External Policies and Cross-Strait Relations	8
2015	1019268	Poster Session	Poster Session: Canadian Politics	1
2015	1019273	Full Panel	Chinese Foreign Policy Today: Changes and Continuities	6
2015	1019283	Full Panel	Catching Tigers and Flies: Xi Jinping and the Rule of Law in China	6
2015	1019288	Full Panel	Diversity and the Economic Crisis. An Iberian Comparative Perspective	7
2015	1019355	Poster Session	Poster Session: International History and Politics	4
2015	1019380	Paper Session	The Politics of Obamacare	6
2015	1019382	Paper Session	Political Dimensions of Disability and Mental Health	7
2015	1019384	Paper Session	Diversities of Interests in EU Policymaking	6
2015	1019386	Paper Session	Electoral Politics and the European Parliament	6
2015	1019387	Paper Session	Political Reverberations of the Financial Crisis I: Domestic Consequences	7
2015	1019389	Paper Session	Political Reverberations of the Financial Crisis II: Consequences for the EU	7
2015	1019391	Paper Session	Party Strategies in Elections and Government	6
2015	1019392	Paper Session	Social Change, Diversity, and Redistributive Politics	8
2015	1019441	Poster Session	Poster Session: European Politics and Society	6
2015	1019468	Paper Session	Empire, Imperialism, and Race	4
2015	1019474	Paper Session	Race, Revolution, and Love in American Political Thought	6
2015	1019635	Paper Session	"Democracy and the ""White Problem"""	6
2015	1019636	Paper Session	Historical Injustice and Responsibility	5
2015	1019637	Paper Session	Difference, Domination, Inequality	6
2015	1019639	Roundtable	LGBTQ Politics and Political Science:  A Critical Assessment Roundtable	10
2015	1019643	Paper Session	Democracy at the Margins	6
2015	1019644	Paper Session	Recognition and its Discontents	6
2015	1019654	Full Panel	Power in 21st Century World Politics	8
2015	1019663	Full Panel	Statesmanship, Citizenship, and Constitutionalism: Ancient and Modern	7
2015	1019671	Full Panel	Forecasting the 2015 UK Parliamentary Election	8
2015	1019680	Full Panel	Shale Politics and Policy in Comparative Perspective: UK, US, Europe	4
2015	1019690	Full Panel	The Politics of Citizenship Education in Post-Communist Countries	7
2015	1019704	Full Panel	Democracy & Security in Southeast Asia: Varied Perspectives	7
2015	1019711	Roundtable	Reflections on the Political Thought of Fr. James V. Schall: Reason, Revelation and Politics Roundtable	5
2015	1019781	Paper Session	Refugee and Conflict Dynamics	8
2015	1019875	Paper Session	Diverse Perspectives on LGBT Rights and Policy	8
2015	1020029	Paper Session	Experiments on Campaigns & Elections	6
2015	1020137	Paper Session	The Missing (Emotional) Link: Explaining Political Participation	7
2015	1020175	Paper Session	Ideal Point Estimation	6
2015	1020184	Paper Session	Prediction	7
2015	1020190	Paper Session	The Psychological Underpinnings of Partisanship and Group Cues	7
2015	1020192	Paper Session	Machine Learning	7
2015	1020195	Paper Session	Tracing Text Through Time	6
2015	1020201	Paper Session	Measurement Models in Comparative Politics	8
2015	1020203	Paper Session	Geography, Inference, and Spatial Statistics	5
2015	1020204	Paper Session	Innovations in Cross-Case Comparative Methods	6
2015	1020206	Paper Session	Network Models	7
2015	1020216	Paper Session	Transitional Justice and Human Rights	7
2015	1020229	Paper Session	Comparative Urban Policy: Land Use, Economic Development, and City Services	7
2015	1020242	Paper Session	Decentralization and Redistribution	7
2015	1020243	Paper Session	Inequality and its Perceptions	7
2015	1020244	Paper Session	Elites, Information, and Institutions	5
2015	1020246	Paper Session	Ethnic Diversity and Government Policy	6
2015	1020247	Paper Session	Accountability and Local Politics in Brazil	5
2015	1020249	Paper Session	The Politics of Corruption	6
2015	1020250	Paper Session	Democratic Support	6
2015	1020251	Paper Session	Regime Transitions	7
2015	1020253	Paper Session	Authoritarian Stability	8
2015	1020258	Paper Session	Authoritarian Institutions	7
2015	1020259	Paper Session	Comparative Approaches to the Study of Electoral and Legislative Politics	7
2015	1020260	Paper Session	Dynamics of Protest Movements	7
2015	1020261	Paper Session	The Resource Curse	5
2015	1020265	Paper Session	Public Goods, Corruption, and the State	7
2015	1020282	Paper Session	Holding Incumbents Accountable for the Economy?	6
2015	1020284	Paper Session	Candidate Positioning, Repositioning, Promising	6
2015	1020321	Paper Session	Fiscal Policies: Causes and Implications	6
2015	1020327	Paper Session	Causal Effects in Time-Varying Data	7
2015	1020333	Paper Session	Empirical Testing of Theoretical Models	7
2015	1020334	Paper Session	Modeling Text-as-Data	6
2015	1020342	Paper Session	Models of Survey Data	6
2015	1020344	Paper Session	Detecting and Concealing Patterns in Data	6
2015	1020350	Paper Session	Advances in Causal Inference	7
2015	1020351	Paper Session	New Sources of (Big) Data	7
2015	1020356	Paper Session	Bayesian Models	6
2015	1020358	Paper Session	Accountability and Representation	6
2015	1020359	Paper Session	Methodological Issues in Experimental Design	6
2015	1020360	Paper Session	Bridging the Quantitative-Qualitative Divide: Text Analysis and Data Thresholds	5
2015	1020361	Paper Session	Minority Rights and Repression	6
2015	1020363	Paper Session	Incumbents and Elections in Developing Countries	7
2015	1020431	Paper Session	The Urban Electoral Connection: Governance, Services, & Finances	7
2015	1020501	Paper Session	The Politics of Health Knowledge	7
2015	1020556	Full Panel	The New Challenges of Democracy in Brazil	5
2015	1020581	Paper Session	Inside the Black Box of War	9
2015	1020643	Roundtable	Roundtable on Complexity in Policy: The Missing Link	5
2015	1020725	Paper Session	Body Politics	8
2015	1020735	Paper Session	Telling the Truth and Breaking the Law	6
2015	1020742	Paper Session	The Politics of Health Care Reform	7
2015	1020770	Paper Session	Understanding and Increasing Turnout	7
2015	1020771	Paper Session	Voter Reform and Suppression	7
2015	1020774	Paper Session	Knowledge, Information, and Political Attitudes	7
2015	1020816	Full Panel	Geopolitics and Prudence	8
2015	1020822	Full Panel	The Problem of Multiple Modernities	8
2015	1020836	Full Panel	Civilization in Extremis: From Collapse to a New Leap in Being	8
2015	1020843	Full Panel	"""Wherefrom Does History Emerge?"""	8
2015	1020849	Full Panel	Aristocratic Souls in Democratic Times	7
2015	1020856	Full Panel	The Spirit and Reality of Politics	8
2015	1020872	Full Panel	Art, Politics and Literature	8
2015	1020878	Full Panel	Philosophical Anthropology and Authenticity	8
2015	1020885	Paper Session	Border Crossings	5
2015	1020886	Full Panel	Re-Encountering Homer: Poetry, Tragedy, and Political Philosophy	7
2015	1020926	Full Panel	Contemporary Issues in German Foreign Policy	5
2015	1020945	Full Panel	Institutional and Party Change in Italy in a Comparative Perspective	6
2015	1021089	Full Panel	Urban Protests: The Politics of Service Provision in the South	7
2015	1021271	Paper Session	Wars of Religion (and Secularism)	6
2015	1021272	Paper Session	Resistance Is Futile	6
2015	1021541	Paper Session	Political Interest, Engagement, and Knowledge	7
2015	1021542	Paper Session	Voting: Race, Identity, and the Greatest Generation	7
2015	1021699	Poster Session	Poster Session: Comparative Politics of Advanced Industrial Societies	3
2015	1021704	Paper Session	Experiments in Violence and Conflict	2
2015	1021918	Theme Session	Global Governance and the United Nations, 70 Years after the San Francisco Charter	5
2015	1021948	Paper Session	Ethnicity and the politics of resource allocation in Africa	5
2015	1021952	Paper Session	Violence and patronage in African democracies	7
2015	1022024	Paper Session	Conflict, Taxation, and State Capacity	6
2015	1022055	Paper Session	Gender in the History of Political Thought	6
2015	1022062	Paper Session	Revisiting Rousseau	5
2015	1022069	Paper Session	Clientelism, Democracy and Public Spending	4
2015	1022099	Poster Session	Poster Session: African Politics	3
2015	1022253	Paper Session	Power of Political News	6
2015	1022258	Poster Session	Poster Session: Elections and Voting Behavior	14
2015	1022301	Paper Session	Representation, Partisanship, and Party Discipline	7
2015	1022348	Paper Session	Political Geography, Institutions, and Public Goods	6
2015	1022361	Paper Session	Compliance with the Int't Human Rights Regime	7
2015	1022365	Paper Session	Building and Testing Theories of Urban Policymaking and Governance	7
2015	1022378	Paper Session	The Effects of Education, Age, Mass Shootings, and Natural Disasters on Turnout	7
2015	1022380	Paper Session	The Politics of Wages and Labor Regulation	6
2015	1022396	Paper Session	Corruption and Its Political Implications	4
2015	1022401	Paper Session	Local Civic Engagement in Context: Neighborhoods and Participatory Institutions	8
2015	1022403	Paper Session	The Politics of Welfare State Retrenchment	6
2015	1022409	Paper Session	Social Spending and Outcomes in New and Partial Democracies	6
2015	1022421	Paper Session	Innovations in HR Data Collection	7
2015	1022427	Paper Session	Domestic Stuff that Impacts Respect for Human Rights	4
2015	1022440	Paper Session	Human Rights IGOs: The ECtHR, ICC & UNHRC	7
2015	1022608	Roundtable	Roundtable on the Voting Rights Act at 50	5
2015	1022610	Full Panel	Political Parties and Campaign Finance in the Post-Citizens United World	6
2015	1022617	Roundtable	Roundtable on Voegelin’s Late Meditations and Essays	6
2015	1022618	Full Panel	Narratives Of Ecology: Animal, Vegetable, Mineral	5
2015	1022652	Paper Session	Different Dynamics of International Relations	8
2015	1022737	Paper Session	Reading and Re-Reading Locke	6
2015	1022793	Full Panel	Humanity and Divinity in Ancient Political Thought	8
2015	1022798	Full Panel	Youth Politics in the Contemporary Arab World	7
2015	1022820	Full Panel	Federalism and Aging	6
2015	1022859	Paper Session	Democratic Theorizing: Past and Present	5
2015	1023277	Full Panel	Frontiers in Disaster Research	5
2015	1023379	Paper Session	Campaigning Online: Cross-National Assessments of the Web’s Role in Elections	7
2015	1023393	Paper Session	Regulation and Repression: Internet Control in Democracies and Dictatorships	8
2015	1023394	Paper Session	Governance in the Digital Age: The Promise and Perils of E-Government	8
2015	1023400	Poster Session	Poster Session: Information Technology and Politics	4
2015	1023407	Paper Session	Participation and Engagement: The Role of ICT's in Transforming Citizen Politics	7
2015	1023414	Full Panel	Aristocratic Apologetics	7
2015	1023419	Paper Session	Elites Online: How Candidates, Representatives and Journalists Use the Internet	8
2015	1023429	Paper Session	Ethnography, Interpretation, and the Study of Identity Politics	6
2015	1023463	Paper Session	Race and Ethnicity: Experimental Investigations	7
2015	1023524	Paper Session	Diversities Reconsidered: Arms Control in the 21st Century	7
2015	1023525	Paper Session	The Continuing Balance of Power	7
2015	1023527	Paper Session	Diverse Approaches to Nuclear Proliferation	6
2015	1023531	Paper Session	Politics and Ethics in Nietzsche's Philosophy	5
2015	1023548	Paper Session	Resources and Distribution in Democracies of the Developing World	6
2015	1023561	Full Panel	Development, Democracy, and Socioeconomic Rights in Latin America	4
2015	1023628	Paper Session	Theorizing Political Economy	6
2015	1023632	Paper Session	Reprising the Early Modern	7
2015	1023635	Paper Session	Hannah Arendt	5
2015	1023679	Paper Session	Historical Democratization: Parties, Parliaments, and Crisis	6
2015	1023682	Paper Session	Institutional Legacies and the Political Economy of Growth	6
2015	1023688	Paper Session	Republicanism:  Markets and Freedom	4
2015	1023691	Paper Session	Diversities / Diverse Cities -- and Their Politics	8
2015	1023707	Paper Session	Race and the American State	7
2015	1023709	Paper Session	Democracy at the Edge	4
2015	1023710	Paper Session	Building the State: Historical Antecedents of Stability and Capacity	7
2015	1023715	Paper Session	The Effects of Moral Judgments Among Citizens and Legislators	6
2015	1023928	Paper Session	Gender Quotas I: Adoption and Implementation	8
2015	1023933	Paper Session	Gender Quotas II: Substantive Representation	8
2015	1023939	Paper Session	Gender and Conflict	8
2015	1023944	Paper Session	Combating Gender-Based Violence	7
2015	1023945	Paper Session	The Political Psychology of Immigration Attitudes	6
